Invoice Date,AC,AD,AJ,AO,BG,BM,BO,BQ,CD,CQ,PJ,VC
2018-01-01,16.0,1.0,1.0,7.0,,,2.0,6.0,43.0,4.0,,
2018-01-02,182.0,6.0,5.0,177.0,,6.0,2.0,87.0,159.0,8.0,1.0,
2018-01-03,256.0,18.0,15.0,168.0,,9.0,7.0,110.0,323.0,39.0,3.0,
2018-01-04,226.0,16.0,14.0,181.0,,4.0,30.0,145.0,353.0,15.0,1.0,
2018-01-05,280.0,29.0,5.0,236.0,,6.0,9.0,157.0,450.0,25.0,6.0,
2018-01-08,254.0,23.0,9.0,202.0,,3.0,32.0,123.0,426.0,38.0,3.0,
2018-01-09,278.0,19.0,5.0,220.0,,4.0,41.0,92.0,354.0,43.0,1.0,
2018-01-10,221.0,23.0,6.0,189.0,,9.0,11.0,121.0,295.0,27.0,3.0,
2018-01-11,318.0,19.0,4.0,227.0,,8.0,35.0,207.0,724.0,26.0,3.0,
2018-01-12,346.0,18.0,16.0,260.0,,6.0,33.0,143.0,609.0,56.0,9.0,
2018-01-15,290.0,22.0,10.0,199.0,,3.0,29.0,175.0,585.0,45.0,4.0,
2018-01-16,584.0,37.0,4.0,448.0,,5.0,29.0,159.0,434.0,31.0,5.0,
2018-01-17,295.0,21.0,23.0,203.0,,6.0,47.0,134.0,500.0,48.0,1.0,
2018-01-18,427.0,30.0,13.0,343.0,,9.0,32.0,171.0,510.0,68.0,15.0,2.0
2018-01-19,257.0,14.0,7.0,181.0,,2.0,27.0,131.0,635.0,43.0,7.0,
2018-01-22,570.0,33.0,24.0,390.0,,10.0,39.0,198.0,936.0,68.0,2.0,
2018-01-23,323.0,32.0,8.0,248.0,,10.0,20.0,147.0,423.0,51.0,3.0,
2018-01-24,815.0,48.0,9.0,562.0,,3.0,49.0,298.0,703.0,67.0,4.0,
2018-01-25,511.0,28.0,28.0,395.0,,7.0,29.0,192.0,975.0,61.0,7.0,
